0.6853,0.4714,0.4210,0.3599,0.3360,0.3360,0.3347,0.3347,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333
0.6667,0.7636,0.6892,0.6428,0.5790,0.5312,0.5272,0.5126,0.4807,0.4502,0.4236,0.3904,0.3745,0.3572,0.3386,0.3307
0.6667,0.5989,0.7795,0.7371,0.6985,0.6693,0.6268,0.5883,0.5525,0.5286,0.5272,0.5219,0.5073,0.4887,0.4714,0.4502
0.6667,0.6627,0.6680,0.8088,0.7849,0.6760,0.6388,0.6082,0.5764,0.5445,0.5312,0.5312,0.5206,0.5073,0.4954,0.4847
0.6667,0.6667,0.6627,0.7251,0.8008,0.8393,0.7344,0.6999,0.6853,0.6667,0.6467,0.6215,0.6016,0.5684,0.5511,0.5312
0.6667,0.6667,0.6627,0.6760,0.6760,0.8207,0.8367,0.7304,0.7131,0.6946,0.6839,0.6707,0.6467,0.6308,0.6069,0.5896
0.6667,0.6149,0.6375,0.6707,0.6906,0.7463,0.8061,0.8699,0.8313,0.7716,0.7238,0.6999,0.6720,0.6348,0.6122,0.6029
0.6667,0.6667,0.6375,0.5551,0.5020,0.4940,0.5485,0.7782,0.8433,0.7490,0.7344,0.7317,0.7238,0.7211,0.7065,0.7012
0.6667,0.6667,0.6667,0.6667,0.6746,0.6428,0.6534,0.6786,0.7610,0.8725,0.7583,0.7291,0.7278,0.7291,0.7278,0.7278
0.6667,0.6667,0.6680,0.6627,0.6295,0.5750,0.5657,0.5777,0.6733,0.8154,0.8792,0.7835,0.7357,0.7278,0.7264,0.7198
0.6667,0.6667,0.6667,0.6680,0.6707,0.6175,0.5950,0.6003,0.6003,0.7065,0.8274,0.8792,0.7981,0.7397,0.7317,0.7317
0.6667,0.6667,0.6667,0.6680,0.6667,0.6653,0.5936,0.6135,0.5923,0.6175,0.7025,0.7995,0.8792,0.8300,0.7623,0.7304
0.6667,0.6667,0.6667,0.6627,0.6560,0.6162,0.5883,0.6029,0.5697,0.5830,0.6335,0.7118,0.8048,0.8792,0.8539,0.7663
0.6627,0.6640,0.6547,0.6627,0.6574,0.6202,0.6162,0.6335,0.6096,0.6082,0.6308,0.6773,0.7317,0.8114,0.8672,0.8699
0.6667,0.6653,0.6667,0.6587,0.6321,0.6056,0.5671,0.5352,0.5299,0.5392,0.5485,0.5551,0.6162,0.7171,0.8181,0.8765
0.6667,0.6667,0.6667,0.6667,0.6667,0.6600,0.6574,0.6361,0.5724,0.5485,0.5485,0.5750,0.5591,0.5671,0.6547,0.7556
